City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
ostersund,90,SE,1612384661,85,63.1792,14.6357,8.01,5.14
ushuaia,75,AR,1612384506,54,-54.8,-68.3,53.6,18.41
tabuk,75,SA,1612384517,32,28.3833,36.5833,69.8,5.75
leningradskiy,65,RU,1612384661,84,69.3833,178.4167,-24.56,11.14
bairiki,20,KI,1612384662,83,1.3292,172.9752,80.6,10.36
hoquiam,75,US,1612384662,81,46.9809,-123.8893,48.0,1.48
atuona,1,PF,1612384662,72,-9.8,-139.0333,77.95,11.83
worcester,0,ZA,1612384662,55,-33.6465,19.4485,66.38,6.04
busselton,0,AU,1612384663,81,-33.65,115.3333,51.01,16.67
warrnambool,97,AU,1612384663,89,-38.3833,142.4833,57.99,5.01
ponta do sol,75,CV,1612384663,68,17.1994,-25.0919,71.6,26.46
east london,0,ZA,1612384663,81,-33.0153,27.9116,76.68,5.61
coihaique,0,CL,1612384663,27,-45.5752,-72.0662,87.8,5.75
rikitea,7,PF,1612384664,72,-23.1203,-134.9692,77.92,12.75
carnarvon,90,AU,1612384664,88,-24.8667,113.6333,77.0,20.71
bandrele,0,YT,1612384494,89,-12.9067,45.1914,78.8,4.61
torbay,90,CA,1612384526,100,47.6666,-52.7314,41.0,24.16
mount gambier,98,AU,1612384444,82,-37.8333,140.7667,59.0,8.05
cape town,20,ZA,1612384507,77,-33.9258,18.4232,69.01,17.27
ovalle,0,CL,1612384665,21,-30.5983,-71.2003,86.14,7.83
mount isa,32,AU,1612384665,78,-20.7333,139.5,78.8,9.22
tasiilaq,100,GL,1612384665,97,65.6145,-37.6368,27.59,28.66
barrow,1,US,1612384665,75,71.2906,-156.7887,-29.2,13.8
lodwar,9,KE,1612384666,37,3.1191,35.5973,81.07,9.24
bethel,90,US,1612384666,60,41.3712,-73.414,34.0,10.36
puerto palomas,1,MX,1612384666,18,31.7667,-107.6167,71.6,17.27
kuching,40,MY,1612384667,100,1.55,110.3333,75.2,4.61
faanui,0,PF,1612384667,71,-16.4833,-151.75,81.72,10.71
axim,54,GH,1612384667,83,4.8699,-2.2405,80.35,9.75
petatlan,20,MX,1612384667,79,17.5167,-101.2667,86.0,7.14
poplar bluff,1,US,1612384667,61,36.757,-90.3929,45.0,6.91
bredasdorp,0,ZA,1612384668,77,-34.5322,20.0403,60.8,2.82
vaini,75,TO,1612384668,89,-21.2,-175.2,80.6,2.3
new norfolk,75,AU,1612384668,88,-42.7826,147.0587,57.99,1.99
hermanus,2,ZA,1612384668,88,-34.4187,19.2345,63.0,4.56
caravelas,6,BR,1612384669,77,-17.7125,-39.2481,79.03,8.01
puerto escondido,0,MX,1612384669,58,15.85,-97.0667,83.32,7.27
yellowknife,90,CA,1612384669,69,62.456,-114.3525,-15.0,6.91
albany,90,AU,1612384669,55,-35.0169,117.8917,60.8,13.8
gwadar,0,PK,1612384670,35,25.1216,62.3254,67.84,14.92
kamenka,100,RU,1612384670,97,51.3223,42.7678,34.0,6.31
manzanillo,1,MX,1612384670,83,19.0501,-104.3188,80.6,11.5
north platte,1,US,1612384577,24,41.1239,-100.7654,66.2,6.91
puerto ayora,0,EC,1612384670,70,-0.7393,-90.3518,84.2,16.11
kodiak,1,US,1612384671,93,57.79,-152.4072,28.4,3.44
mahibadhoo,100,MV,1612384671,78,3.7833,72.9667,81.54,20.6
bluff,49,NZ,1612384671,67,-46.6,168.3333,53.26,15.37
lueta,89,RO,1612384672,83,46.2667,25.4833,37.0,1.66
port alfred,0,ZA,1612384672,93,-33.5906,26.891,69.01,1.99
shingu,0,JP,1612384672,82,33.7333,135.9833,35.96,5.82
